Year,RK,PARK NAME,RUNS,HR,H,2B,3B,BB,Elevation,Average Wall Distance
2013,1,"Coors Fieldÿ(Denver, Colorado)",1.273,1.169,1.163,1.117,1.72,0.992,5183,376.5
2013,2,"Wrigley Fieldÿ(Chicago, Illinois)",1.192,1.115,1.104,1.121,0.889,1.044,596,369.7142857
2013,3,"Comerica Parkÿ(Detroit, Michigan)",1.139,1.013,1.045,1.103,1.684,1.056,596,369.6666667
2013,4,"Rogers Centreÿ(Toronto, Ontario)",1.118,1.289,1.026,1.476,0.531,1.095,247,362
2013,5,"Miller Parkÿ(Milwaukee, Wisconsin)",1.11,1.259,1.081,1.041,1.069,1.166,593,366.6
2013,6,"Citizens Bank Parkÿ(Philadelphia, Pennsylvania)",1.107,1.517,0.987,1.047,1.061,1.042,9,360
2013,7,"Yankee Stadiumÿ(New York, New York)",1.087,1.128,1.046,0.957,0.727,1.081,54,369.1428571
2013,8,"Kauffman Stadiumÿ(Kansas City, Missouri)",1.082,0.88,1.036,1.059,1.522,0.993,750,364
2013,9,"Minute Maid Parkÿ(Houston, Texas)",1.074,1.23,1.013,0.902,1.375,1.105,38,358.8571429
2013,10,"Oriole Park at Camden Yardsÿ(Baltimore, Maryland)",1.057,1.275,0.988,0.862,0.636,1.011,130,366.3333333
2013,11,"Marlins Parkÿ(Miami, Florida)",1.03,0.636,1.007,1.135,1.324,1.043,15,367
2013,12,"Target Fieldÿ(Minneapolis, Minnesota)",1.02,0.802,1.027,1.117,1.045,0.842,812,367.3333333
2013,13,"Nationals Parkÿ(Washington, D.C.)",1.013,0.804,1.089,1.051,0.577,0.966,25,373.7142857
2013,14,"Guaranteed Rate Fieldÿ(Chicago, Illinois)",0.998,1.185,0.947,0.761,0.414,1.16,596,363
2013,15,"Safeco Fieldÿ(Seattle, Washington)",0.991,0.885,1.008,1.112,0.63,0.952,10,367.8571429
2013,16,"Great American Ball Parkÿ(Cincinnati, Ohio)",0.989,1.338,0.99,1.081,0.82,0.997,683,362.2857143
2013,17,"Globe Life Park in Arlingtonÿ(Arlington, Texas)",0.985,0.903,0.991,0.877,0.672,1.106,616,364
2013,18,"Chase Fieldÿ(Phoenix, Arizona)",0.974,0.949,0.944,1.01,1.375,0.98,1082,364.8
2013,19,"Angel Stadium of Anaheimÿ(Anaheim, California)",0.968,0.902,1.014,0.958,1,0.989,160,366.2857143
2013,20,"Fenway Parkÿ(Boston, Massachusetts)",0.96,0.845,0.996,1.176,1.292,0.915,20,349.3333333
2013,21,"Turner Fieldÿ(Cumberland, Georgia)",0.956,0.925,0.987,0.924,1.25,0.945,1050,367
2013,22,"Progressive Fieldÿ(Cleveland, Ohio)",0.933,1.078,0.976,0.996,0.63,0.918,582,366.2857143
2013,23,"Tropicana Fieldÿ(St. Petersburg, Florida)",0.931,0.975,0.958,0.901,1.67,0.966,44,358.4285714
2013,24,"PNC Parkÿ(Pittsburgh, Pennsylvania)",0.907,0.679,0.989,0.858,0.688,0.881,743,364.2857143
2013,25,"Busch Stadiumÿ(St. Louis, Missouri)",0.892,0.837,0.931,0.869,0.75,0.898,455,364
2013,26,"Oakland Coliseumÿ(Oakland, California)",0.889,0.818,0.977,1.112,1.316,1.039,42,356.8
2013,27,"AT&T Parkÿ(San Francisco, California)",0.869,0.768,0.962,1.022,1.951,1.097,63,362.5
2013,28,"Dodger Stadiumÿ(Los Angeles, California)",0.868,0.963,0.958,0.926,0.458,0.843,267,367.625
2013,29,"Citi Fieldÿ(New York, New York)",0.867,1.12,0.894,0.838,0.7,1.025,54,365.6
2013,30,"Petco Parkÿ(San Diego, California)",0.831,0.936,0.901,0.773,1.133,1,13,364
2014,1,"Coors Fieldÿ(Denver, Colorado)",1.501,1.393,1.315,1.216,1.897,1.049,5183,376.5
2014,2,"Chase Fieldÿ(Phoenix, Arizona)",1.154,1.194,1.045,1.079,1.793,0.94,1082,364.8
2014,3,"Target Fieldÿ(Minneapolis, Minnesota)",1.116,1.022,1.08,1.075,1.407,1.079,812,367.3333333
2014,4,"Busch Stadiumÿ(St. Louis, Missouri)",1.1,0.966,1.006,1.191,1.474,1.086,455,364
2014,5,"Fenway Parkÿ(Boston, Massachusetts)",1.072,0.72,1.073,1.523,0.857,1.168,20,349.3333333
2014,6,"Nationals Parkÿ(Washington, D.C.)",1.068,0.701,1.075,1.13,0.375,1.079,25,373.7142857
2014,7,"Globe Life Park in Arlingtonÿ(Arlington, Texas)",1.052,0.964,0.981,0.801,2.167,0.966,616,364
2014,8,"Guaranteed Rate Fieldÿ(Chicago, Illinois)",1.052,1.049,1.006,0.996,1.1,1.051,596,363
2014,9,"Rogers Centreÿ(Toronto, Ontario)",1.042,1.31,1.031,1.107,1.333,0.922,247,362
2014,10,"Oakland Coliseumÿ(Oakland, California)",1.023,0.903,1.022,1.114,1.2,1.05,42,356.8
2014,11,"Kauffman Stadiumÿ(Kansas City, Missouri)",1.014,0.843,1.008,1.038,1.069,0.952,750,364
2014,12,"Marlins Parkÿ(Miami, Florida)",1.014,0.788,0.988,1.026,1.923,0.945,15,367
2014,13,"Minute Maid Parkÿ(Houston, Texas)",1.012,1.173,1.006,1.048,1.45,0.962,38,358.8571429
2014,14,"Comerica Parkÿ(Detroit, Michigan)",1.003,1.014,0.979,0.796,1.833,1.02,596,369.6666667
2014,15,"Tropicana Fieldÿ(St. Petersburg, Florida)",1.002,0.807,0.974,0.883,0.68,1.106,44,358.4285714
2014,16,"Miller Parkÿ(Milwaukee, Wisconsin)",1.002,1.142,0.969,0.863,0.515,0.977,593,366.6
2014,17,"PNC Parkÿ(Pittsburgh, Pennsylvania)",0.977,0.711,1.042,1.082,0.806,0.986,743,364.2857143
2014,18,"Great American Ball Parkÿ(Cincinnati, Ohio)",0.963,1.279,0.962,0.904,1.111,1.105,683,362.2857143
2014,19,"Progressive Fieldÿ(Cleveland, Ohio)",0.95,1.083,0.982,1.028,0.528,0.963,582,366.2857143
2014,20,"Yankee Stadiumÿ(New York, New York)",0.945,1.468,1.005,0.877,0.528,0.963,54,369.1428571
2014,21,"Turner Fieldÿ(Cumberland, Georgia)",0.94,1.122,0.97,0.826,0.63,1.009,1050,367
2014,22,"Oriole Park at Camden Yardsÿ(Baltimore, Maryland)",0.932,0.936,0.981,0.935,0.636,1.002,130,366.3333333
2014,23,"Wrigley Fieldÿ(Chicago, Illinois)",0.931,0.943,0.975,1.066,1.037,1.004,596,369.7142857
2014,24,"Citizens Bank Parkÿ(Philadelphia, Pennsylvania)",0.929,1.214,0.974,0.911,0.844,1.004,9,360
2014,25,"AT&T Parkÿ(San Francisco, California)",0.92,0.677,0.951,0.916,1.813,0.985,63,362.5
2014,26,"Angel Stadium of Anaheimÿ(Anaheim, California)",0.919,0.837,0.982,0.993,0.552,0.915,160,366.2857143
