name,team,age,weight,draft_round,draft_number,gp,pts,reb,ast,netrtg,oreb,dreb,usg,ts,astperc
James Harden,HOU,28,220,First Round,3,71,30.6,5.4,8.7,10,0.02,0.15,0.36,0.62,0.45
Anthony Davis,NOP,25,253,First Round,1,73,28.2,11.1,2.3,4.7,0.08,0.24,0.3,0.61,0.11
LeBron James,CLE,33,250,First Round,1,80,27.7,8.7,9.2,1.5,0.04,0.23,0.32,0.62,0.43
Giannis Antetokounmpo,MIL,23,222,First Round,15,74,27.1,10,4.8,4,0.07,0.25,0.31,0.6,0.24
Damian Lillard,POR,27,195,First Round,6,71,26.8,4.5,6.6,5.1,0.03,0.11,0.3,0.6,0.3
Kevin Durant,GSW,29,240,First Round,2,67,26.6,6.9,5.4,9.7,0.02,0.19,0.3,0.64,0.24
Stephen Curry,GSW,30,190,First Round,7,51,26.4,5.1,6.1,14.7,0.03,0.14,0.3,0.68,0.27
Russell Westbrook,OKC,29,200,First Round,4,78,25.6,9.8,10.1,5.3,0.05,0.25,0.33,0.53,0.46
DeMarcus Cousins,NOP,27,270,First Round,5,48,25.2,12.9,5.4,1.8,0.07,0.33,0.32,0.58,0.24
Devin Booker,PHX,21,210,First Round,13,54,24.9,4.5,4.7,-10.1,0.02,0.13,0.31,0.56,0.23
Kyrie Irving,BOS,26,193,First Round,1,60,24.4,3.8,5.1,5.2,0.02,0.11,0.31,0.61,0.28
MarShon Brooks,MEM,29,200,First Round,25,5,23.6,3.4,3.6,4.1,0.06,0.09,0.28,0.71,0.22
LaMarcus Aldridge,SAS,32,260,First Round,2,73,23.4,8.4,2.1,6.3,0.11,0.17,0.29,0.57,0.11
Victor Oladipo,IND,25,210,First Round,2,75,23.1,5.2,4.3,6.4,0.02,0.15,0.3,0.58,0.21
DeMar DeRozan,TOR,28,220,First Round,9,79,23.1,3.9,5.2,7,0.03,0.1,0.29,0.56,0.25
Joel Embiid,PHI,24,250,First Round,3,63,22.9,11,3.2,11.6,0.09,0.29,0.34,0.57,0.18
Bradley Beal,WAS,24,207,First Round,3,80,22.8,4.4,4.6,2.5,0.02,0.11,0.28,0.57,0.21
Kristaps Porzingis,NYK,22,240,First Round,4,48,22.7,6.6,1.2,0.1,0.05,0.17,0.31,0.54,0.06
Lou Williams,LAC,31,175,Second Round,45,79,22.6,2.5,5.3,0.6,0.02,0.07,0.29,0.57,0.25
Kemba Walker,CHA,27,184,First Round,9,79,22.2,3.1,5.6,3.1,0.01,0.09,0.27,0.57,0.26
Jimmy Butler,MIN,28,236,First Round,30,57,22.1,5.4,4.9,8,0.04,0.13,0.25,0.59,0.21
Paul George,OKC,27,220,First Round,10,77,21.6,5.7,3.4,2.7,0.03,0.15,0.25,0.57,0.14
CJ McCollum,POR,26,190,First Round,10,79,21.5,3.9,3.4,1.8,0.02,0.1,0.27,0.54,0.16
Blake Griffin,DET,29,251,First Round,1,58,21.4,7.4,5.8,1.9,0.04,0.2,0.29,0.54,0.29
